Resort Region  ,Jan  ,Feb  ,Mar  ,Apr  ,May  ,Jun  ,Jul  ,Aug  ,Sep  ,Oct  ,Nov  ,Dec  
Colombo City ,12898,11654,14325,9992,8972,12436,18762,23213,22887,25436,24356,27645
Greater Colombo ,20468,20162,21555,14110,11098,17259,33665,34689,33508,41105,54784,54774
I. North of Colombo ,13533,13287,14321,9876,7263,13840,20987,20453,17865,23453,33453,32453
II. South of Colombo  ,6935,6875,7234,4234,3835,3419,12678,14236,15643,17652,21331,22321
South Coast ,30410,30953,28655,26952,20775,19933,24195,24202,29075,32308,35759,38861
I. Upto Galle ,21876,22342,20121,19087,14532,12450,17652,14876,16754,20987,23435,25436
II. Beyond Galle ,8534,8611,8534,7865,6243,7483,6543,9326,12321,11321,12324,13425
East Coast ,5021,4897,6121,4234,3645,4336,5165,5647,4235,7456,17687,15423
High Country ,12410,12298,12912,11543,7633,5944,8234,9921,11323,11324,14329,15643
Ancient Cities ,33049,32783,33272,29864,27337,26907,42576,43418,53178,49229,50521,56047
I. Kandy Area ,17182,17092,17812,15431,14321,10961,26393,25235,32453,27659,26785,29735
II. Anuradhapura Area ,4524,4487,4123,4009,3781,5528,4987,5231,2765,6423,6218,6753
III. Polonnaruwa / Giritale ,4556,4550,4792,4234,3512,3000,2431,3976,4533,4979,4231,5234
IV. Habarana/Sig./Damb. ,6787,6654,6545,6190,5723,7418,8765,8976,13427,10168,13287,14325
Northern Region ,,,,,,,,,,,,
